DataStationCode,Date,UnconfirmedChange,StartTime,EndTime,MaxTime,LatitudeHemisphere,Latitude,LongitudeHemisphere,LongitudeCMD,SXIData,FlareClass,FlareIntensity,StationAbbreviation,IntegratedFlux,NOAASunspotRegionNumber,CMPDate,RegionArea,TotalIntensity,DateTime
31777,100119,,1303,1350,1341,nan,nan,nan,nan,nan,M,23,GOES,3.9E-02,11041,nan,nan,nan,2010-01-19 13:03:00
31777,100119,,2023,2046,2035,nan,nan,nan,nan,nan,M,17,GOES,1.8E-02,11041,nan,nan,nan,2010-01-19 20:23:00
31777,100120,,0645,0734,0727,S,24,E,87,SF,M,10,GOES,1.9E-02,11041,nan,nan,nan,2010-01-20 06:45:00
31777,100120,,0742,0753,0749,S,24,E,88,SF,M,16,GOES,1.2E-02,11041,nan,nan,nan,2010-01-20 07:42:00
31777,100120,,1046,1110,1059,nan,nan,nan,nan,nan,M,18,GOES,1.7E-02,11041,nan,nan,nan,2010-01-20 10:46:00
31777,100120,,1750,1800,1755,S,26,E,81,SF,M,34,GOES,1.7E-02,11041,nan,nan,nan,2010-01-20 17:50:00
31777,100206,,1847,1909,1859,N,21,E,17,SN,M,29,GOES,2.6E-02,11045,nan,nan,nan,2010-02-06 18:47:00
31777,100206,,2131,2142,2137,nan,nan,nan,nan,nan,M,13,GOES,7.4E-03,11045,nan,nan,nan,2010-02-06 21:31:00
31777,100207,,0220,0239,0234,N,21,E,10,1N,M,64,GOES,3.8E-02,11045,nan,nan,nan,2010-02-07 02:20:00
31777,100208,,0736,0746,0743,nan,nan,nan,nan,nan,M,40,GOES,1.3E-02,11045,nan,nan,nan,2010-02-08 07:36:00
31777,100208,,1157,1206,1203,nan,nan,nan,nan,nan,M,11,GOES,3.0E-03,11045,nan,nan,nan,2010-02-08 11:57:00
31777,100208,,1332,1350,1347,nan,nan,nan,nan,nan,M,20,GOES,8.2E-03,11045,nan,nan,nan,2010-02-08 13:32:00
31777,100208,,2101,2128,2123,N,23,W,12,SN,M,10,GOES,4.2E-03,11045,nan,nan,nan,2010-02-08 21:01:00
31777,100212,,1119,1128,1126,N,26,E,11,1N,M,83,GOES,1.9E-02,11046,nan,nan,nan,2010-02-12 11:19:00
31777,100212,,1752,1815,1808,N,28,W,53,2F,M,11,GOES,6.5E-03,11045,nan,nan,nan,2010-02-12 17:52:00
31777,100505,,1713,1722,1719,N,42,W,37,SF,M,12,GOES,3.2E-03,11069,nan,nan,nan,2010-05-05 17:13:00
31777,100612,,0030,0102,0057,N,23,W,43,SN,M,20,GOES,6.8E-03,11081,nan,nan,nan,2010-06-12 00:30:00
31777,100613,,0530,0544,0539,S,25,W,84,SF,M,10,GOES,4.2E-03,11079,nan,nan,nan,2010-06-13 05:30:00
31777,100807,,1755,1847,1824,N,11,E,34,2F,M,10,GOES,1.8E-02,11093,nan,nan,nan,2010-08-07 17:55:00
31777,101016,,1907,1915,1912,S,20,W,26,1N,M,29,GOES,6.4E-03,11112,nan,nan,nan,2010-10-16 19:07:00
31777,101104,,2330,0012,2358,S,20,E,76,SF,M,16,GOES,1.4E-02,11121,nan,nan,nan,2010-11-04 23:30:00
