T_REC,HARPNUM,MEANPOT,SHRGT45,TOTPOT,USFLUX,MEANJZH,ABSNJZH,SAVNCPP,MEANALP,MEANSHR,TOTUSJZ,TOTUSJH,MEANGAM,MEANGBZ,MEANJZD,AREA_ACR,R_VALUE,MEANGBT,MEANGBH,NOAA_ARS,FlareClass
2011.09.22_15:24:00_TAI,856,5144.339,16.305,5.679985e+23,5.579171e+22,0.00539458,448.495,18603090000000,0.0142526,29.721,64824080000000,3338.745,35.38,99.388,0.07581525,1895.952393,4.669,94.341,44.149,11295,M
2011.09.22_15:24:00_TAI,856,5144.339,16.305,5.679985e+23,5.579171e+22,0.00539458,448.495,18603090000000,0.0142526,29.721,64824080000000,3338.745,35.38,99.388,0.07581525,1895.952393,4.669,94.341,44.149,11295,M
2011.09.22_15:24:00_TAI,856,5144.339,16.305,5.679985e+23,5.579171e+22,0.00539458,448.495,18603090000000,0.0142526,29.721,64824080000000,3338.745,35.38,99.388,0.07581525,1895.952393,4.669,94.341,44.149,11295,M
2011.09.22_15:36:00_TAI,856,5218.502,16.082,5.634971e+23,5.535431e+22,0.00566352,460.473,19895990000000,0.01465721,29.625,62786060000000,3269.426,35.153,99.852,0.07201654,1889.164917,4.682,95.04,44.275,11295,M
2011.09.22_15:36:00_TAI,856,5218.502,16.082,5.634971e+23,5.535431e+22,0.00566352,460.473,19895990000000,0.01465721,29.625,62786060000000,3269.426,35.153,99.852,0.07201654,1889.164917,4.682,95.04,44.275,11295,M
2011.09.22_15:36:00_TAI,856,5218.502,16.082,5.634971e+23,5.535431e+22,0.00566352,460.473,19895990000000,0.01465721,29.625,62786060000000,3269.426,35.153,99.852,0.07201654,1889.164917,4.682,95.04,44.275,11295,M
2011.09.22_15:48:00_TAI,856,5273.436,16.332,5.687916e+23,5.520494e+22,0.00566833,460.353,20779760000000,0.01468663,29.712,63736900000000,3276.43,35.353,100.372,0.05770396,1877.125122,4.683,95.337,44.425,11295,M
2011.09.22_15:48:00_TAI,856,5273.436,16.332,5.687916e+23,5.520494e+22,0.00566833,460.353,20779760000000,0.01468663,29.712,63736900000000,3276.43,35.353,100.372,0.05770396,1877.125122,4.683,95.337,44.425,11295,M
2011.09.22_15:48:00_TAI,856,5273.436,16.332,5.687916e+23,5.520494e+22,0.00566833,460.353,20779760000000,0.01468663,29.712,63736900000000,3276.43,35.353,100.372,0.05770396,1877.125122,4.683,95.337,44.425,11295,M
2011.09.22_16:00:00_TAI,856,5387.168,16.685,5.766875e+23,5.490284e+22,0.00533933,430.382,17495010000000,0.01373335,30.017,63505680000000,3257.02,35.637,100.636,0.04787413,1881.762573,4.68,95.299,44.581,11295,M
2011.09.22_16:00:00_TAI,856,5387.168,16.685,5.766875e+23,5.490284e+22,0.00533933,430.382,17495010000000,0.01373335,30.017,63505680000000,3257.02,35.637,100.636,0.04787413,1881.762573,4.68,95.299,44.581,11295,M
2011.09.22_16:00:00_TAI,856,5387.168,16.685,5.766875e+23,5.490284e+22,0.00533933,430.382,17495010000000,0.01373335,30.017,63505680000000,3257.02,35.637,100.636,0.04787413,1881.762573,4.68,95.299,44.581,11295,M
2011.09.22_16:12:00_TAI,856,5406.971,16.602,5.703053e+23,5.487273e+22,0.00567234,450.503,19032780000000,0.01429725,29.802,63061480000000,3283.595,35.396,100.978,0.02045038,1882.471558,4.69,96.093,44.814,11295,M
2011.09.22_16:12:00_TAI,856,5406.971,16.602,5.703053e+23,5.487273e+22,0.00567234,450.503,19032780000000,0.01429725,29.802,63061480000000,3283.595,35.396,100.978,0.02045038,1882.471558,4.69,96.093,44.814,11295,M
2011.09.22_16:12:00_TAI,856,5406.971,16.602,5.703053e+23,5.487273e+22,0.00567234,450.503,19032780000000,0.01429725,29.802,63061480000000,3283.595,35.396,100.978,0.02045038,1882.471558,4.69,96.093,44.814,11295,M
2011.09.22_16:24:00_TAI,856,5495.225,16.493,5.68543e+23,5.445041e+22,0.00552716,430.577,17718630000000,0.01368315,29.821,61795130000000,3243.108,35.293,101.162,-0.00211103,1876.022461,4.658,96.644,44.968,11295,M
2011.09.22_16:24:00_TAI,856,5495.225,16.493,5.68543e+23,5.445041e+22,0.00552716,430.577,17718630000000,0.01368315,29.821,61795130000000,3243.108,35.293,101.162,-0.00211103,1876.022461,4.658,96.644,44.968,11295,M
2011.09.22_16:24:00_TAI,856,5495.225,16.493,5.68543e+23,5.445041e+22,0.00552716,430.577,17718630000000,0.01368315,29.821,61795130000000,3243.108,35.293,101.162,-0.00211103,1876.022461,4.658,96.644,44.968,11295,M
2011.09.22_16:36:00_TAI,856,5560.621,16.454,5.705828e+23,5.448978e+22,0.00563691,435.53,18454650000000,0.01380318,29.849,62678550000000,3285.734,35.126,102.14,-0.01166545,1866.44458,4.67,97.17,45.56,11295,M
2011.09.22_16:36:00_TAI,856,5560.621,16.454,5.705828e+23,5.448978e+22,0.00563691,435.53,18454650000000,0.01380318,29.849,62678550000000,3285.734,35.126,102.14,-0.01166545,1866.44458,4.67,97.17,45.56,11295,M
2011.09.22_16:36:00_TAI,856,5560.621,16.454,5.705828e+23,5.448978e+22,0.00563691,435.53,18454650000000,0.01380318,29.849,62678550000000,3285.734,35.126,102.14,-0.01166545,1866.44458,4.67,97.17,45.56,11295,M
